zpid_index,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_openHouse,listingSubType.is_bankOwned,listingSubType.is_FSBA,newConstructionType,listingSubType.is_newHome,listingSubType.is_forAuction,unit,listingSubType.is_foreclosure
25619241,,SINGLE_FAMILY,10500.0,"5 Blackburn, Trabuco Canyon, CA 92679",https://photos.zillowstatic.com/fp/0a7d0b9a3739a3bfeb2144c327bc6171-p_e.jpg,1599000,3.0,-117.57637,33.640957,FOR_SALE,25619241,,-1,2.0,2008.0,USA,USD,sqft,True,,,True,,,,,
25226224,,SINGLE_FAMILY,7725.0,"2129 W Harriet Ln, Anaheim, CA 92804",https://photos.zillowstatic.com/fp/770f9976370cc46af292cfe5db985092-p_e.jpg,1029000,4.0,-117.95634,33.81228,FOR_SALE,25226224,,-1,3.0,2500.0,USA,USD,sqft,True,True,,True,,,,,
63114434,,SINGLE_FAMILY,4487.0,"64 Fire Thorn, Irvine, CA 92620",https://photos.zillowstatic.com/fp/e2a1a0e6fd44ef17253fec05af051256-p_e.jpg,1980000,4.0,-117.7616,33.697582,FOR_SALE,63114434,,-1,3.0,2914.0,USA,USD,sqft,True,,,True,,,,,
2063385183,,SINGLE_FAMILY,,"Plan 3 Plan, Wildrose at Rancho Mission Viejo",https://photos.zillowstatic.com/fp/fdc871eff22c71cef1068fb05849fe48-p_e.jpg,822154,3.0,-117.587425,33.523537,FOR_SALE,2063385183,,-1,3.0,1387.0,USA,USD,,True,,,,BUILDER_PLAN,True,,# 9RXWKN,
25296293,,SINGLE_FAMILY,7200.0,"17882 Santa Mariana St, Fountain Valley, CA 92708",https://photos.zillowstatic.com/fp/dd3f8f2a7bcb1b7cb1388c6eba633cc9-p_e.jpg,1200000,4.0,-117.97623,33.702988,FOR_SALE,25296293,,-1,3.0,2341.0,USA,USD,sqft,True,,,True,,,,,
25608214,,SINGLE_FAMILY,4250.0,"26672 Baronet, Mission Viejo, CA 92692",https://photos.zillowstatic.com/fp/17e60399e2e21bcc6789e80201e816c2-p_e.jpg,1079900,3.0,-117.65189,33.575188,FOR_SALE,25608214,,-1,3.0,1700.0,USA,USD,sqft,True,,,True,,,,,
25215860,,SINGLE_FAMILY,6695.0,"26722 Avenida Las Palmas, Dana Pt, CA 92624",https://photos.zillowstatic.com/fp/2b6f376a81fb7b925ea4ed59452583ab-p_e.jpg,1995000,3.0,-117.66357,33.459545,FOR_SALE,25215860,,-1,4.0,1916.0,USA,USD,sqft,True,,,True,,,,,
25548842,,SINGLE_FAMILY,3375.0,"2 Cape Coral, Aliso Viejo, CA 92656",https://photos.zillowstatic.com/fp/f8b8a7552abf56a25525597f4a579938-p_e.jpg,1585000,3.0,-117.735245,33.5797,FOR_SALE,25548842,,-1,3.0,2560.0,USA,USD,sqft,True,,,True,,,,,
25383641,,SINGLE_FAMILY,7200.0,"5121 Cedarlawn Dr, Placentia, CA 92870",https://photos.zillowstatic.com/fp/4799b349002de5bc089dfffa5fe51d58-p_e.jpg,939900,3.0,-117.84907,33.887524,FOR_SALE,25383641,,-1,2.0,1820.0,USA,USD,sqft,True,,,True,,,,,
25314435,,SINGLE_FAMILY,6300.0,"3550 Sunflower Cir, Seal Beach, CA 90740",https://photos.zillowstatic.com/fp/8a52c21ac3fa4217f27d8a6051bc65c5-p_e.jpg,1250000,4.0,-118.04567,33.775402,FOR_SALE,25314435,,-1,3.0,2527.0,USA,USD,sqft,True,,,True,,,,,
